aaek,1=阿
aajk,1=锕
aakk,1=啊
aakw,1=嗄
aaky,1=吖
aaod,1=腌
ahoe,1=昂
ahoj,1=肮
ahpe,1=卬
ahym,1=盎
aibe,1=癌
aibj,1=皑
aicv,1=蔼
aicx,1=艾
aiem,1=隘
aiey,1=叆
aijy,1=锿
aikm,1=嗌
aikx,1=哎
aiky,1=嗳
ainy,1=嫒
aioy,1=暧
aipy,1=爱
aisr,1=欸
aitu,1=埃
aitv,1=堨
aiuc,1=碍
aiun,1=矮
aiuw,1=毐
aiux,1=砹
aiwy,1=瑷
aiyv,1=霭
anbn,1=安
andn,1=鹌
aneg,1=岸
anfn,1=按
angd,1=庵
angn,1=鞍
anho,1=黯
ankd,1=唵
anmn,1=桉
anon,1=胺
anoo,1=暗
anqg,1=犴
anqn,1=氨
anrd,1=俺
anrm,1=盦
antn,1=垵
anyo,1=谙
aoal,1=奡
aobx,1=翱
aodd,1=澳
aoed,1=隩
aofa,1=鳌
aofe,1=聱
aofh,1=熬
aofi,1=螯
aofj,1=鏊
aofl,1=拗
aofm,1=骜
aofq,1=獒
aofw,1=敖
aogj,1=鏖
aogw,1=廒
aokw,1=嗷
aola,1=凹
aonm,1=媪
aopd,1=奥
aopy,1=袄
aorw,1=傲
aotl,1=坳
aoww,1=璈
aoxd,1=懊
aozw,1=遨
baab,1=鲃
baad,1=鲅
babb,1=疤
bacb,1=芭
bacd,1=菝
bado,1=灞
baeb,1=岜
bafb,1=扒
bafd,1=捌
bagb,1=靶
bagd,1=魃
baib,1=蚆
bajb,1=钯
bakb,1=叭
bakz,1=哱
bamb,1=朳
band,1=妭
baod,1=胈
bapn,1=八
basl,1=巴
bass,1=罢
batr,1=坝
bavb,1=笆
bavv,1=巴
bayb,1=羓
bayo,1=霸
bazd,1=跋
bbab,1=鬓
bbbb,1=宾
bbbe,1=邠
bbdb,1=殡
bbdr,1=濒
bbeu,1=豳
bbfb,1=摈
bbgb,1=髌
bbmb,1=槟
bbmp,1=彬
bbob,1=膑
bbrb,1=傧
bbsb,1=缤
bbwd,1=玢
bbwv,1=斌
bcas,1=鲍
bcbd,1=刨
bcbs,1=包
bcby,1=宝
bccc,1=薄
bccm,1=葆
bccs,1=苞
bcfs,1=抱
bchs,1=炮
bcms,1=枹
bcos,1=胞
bcou,1=曝
bcrh,1=煲
bcrm,1=保
bcrt,1=堡
bcus,1=饱
bced,1=剥
bcwy,1=褒
bcys,1=雹
bczs,1=孢
bdab,1=百
bdfs,1=摆
bdfu,1=捭
bdkr,1=呗
bdkw,1=败
bdmb,1=柏
bdpo,1=白
bdrb,1=伯
bduf,1=拜
bduu,1=掰
bfaa,1=本
bfbt,1=坌
bfcb,1=苯
bfdc,1=奔
bfjc,1=锛
bfrc,1=倴
bftd,1=坋
bfur,1=贲
bgby,1=甭
bgeo,1=崩
bgif,1=蚌
bgjo,1=镚
bgko,1=嘣
bgpf,1=祊
bgso,1=绷
bgto,1=堋
bguu,1=泵
bguw,1=甏
bgwl,1=琫
bgzk,1=迸
bgzo,1=蹦
bhcf,1=蒡
bhdb,1=浜
bhfe,1=邦
bhff,1=搒
bhfj,1=帮
bhjf,1=镑
bhme,1=梆
bhmf,1=榜
bhmk,1=棓
bhof,1=膀
bhse,1=绑
bhtf,1=塝
bhuf,1=磅
bhup,1=彭
bhwf,1=玤
bhyf,1=谤
biat,1=鲾
bibb,1=毖
bibe,1=邲
bibl,1=痹
bibt,1=坒
bibu,1=毕
bicb,1=蓖
bicu,1=薜
bicw,1=蔽
bicz,1=荸
bidb,1=泌
bidc,1=弊
bidl,1=濞
bidm,1=滗
bidw,1=敝
biet,1=陛
bigg,1=弼
bigu,1=髀
bihb,1=秘
biiy,1=彼
bikb,1=吡
bike,1=鄙
bikr,1=赑
biku,1=哔
binb,1=妣
binu,1=婢
biou,1=睥
bipj,1=币
bipu,1=裨
bipv,1=匕
biqt,1=狴
birb,1=佖
bisb,1=纰
bitl,1=畀
biun,1=嬖
biuo,1=臂
biur,1=贲
biut,1=壁
bivb,1=篦
bivl,1=箅
bivm,1=笔
bivu,1=筚
biwb,1=珌
biwy,1=觱
bixy,1=觱
bizl,1=鼻
bizt,1=逼
bjbr,1=颁
bjbw,1=癍
bjby,1=瘢
bjdy,1=湴
bjfb,1=拌
bjfd,1=扮
bjfy,1=扳
bjgb,1=靽
bjjy,1=钣
bjld,1=办
bjmb,1=柈
bjoy,1=昄
bjpy,1=版
bjrb,1=伴
bjsb,1=绊
bjww,1=斑
bkbb,1=病
bkbe,1=邴
bkfk,1=摒
bkhb,1=炳
bkib,1=蛃
bkob,1=昺
bkpn,1=秉
bkqb,1=兵
bkuk,1=屏
bkwx,1=禀
bmac,1=鳊
bmcb,1=苄
bmcc,1=萹
bmdb,1=汴
bmdx,1=卞
bmfb,1=抃
bmic,1=蝙
bmkc,1=匾
bmkf,1=贬
bmlu,1=辫
bmoc,1=昪
bmrg,1=便
bmsc,1=弁
bmuc,1=碥
bmwy,1=变
bmzl,1=边
bnax,1=鳔
bnbx,1=瘭
bnch,1=藨
bncx,1=蔈
bndh,1=瀌
bnfx,1=摽
bnfy,1=表
bnhp,1=彪
bnhx,1=熛
bnjh,1=镳
bnjs,1=飑
bnmu,1=杓
bnmx,1=骠
bnox,1=膘
bnoy,1=脿
bnpy,1=裱
bnqx,1=飙
bnrh,1=儦
bnry,1=俵
boab,1=鲌
boar,1=僰
bobj,1=帛
bocc,1=薄
boct,1=蕃
bocy,1=菠
bodb,1=泊
bodl,1=渤
body,1=波
boet,1=嶓
bofc,1=搏
bofd,1=拨
boft,1=播
bohz,1=馞
bojb,1=钵
